_MEMBER_SCZ_imp_1 - 94.0-96.0,_MEMBER_SCZ_imp_1 - 96.0-98.0,_MEMBER_SCZ_imp_1 - 98.0-100.0,_LogP_SCZ_imp_1 - 94.0-96.0,_LogP_SCZ_imp_1 - 96.0-98.0,_LogP_SCZ_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-2.1,-2.6,-2.1,WP2064,Neural crest differentiation,M111,3,0
1,1,1,-2.3,-2.5,-2.2,GO:0060322,head development,M111,3,0
1,1,1,-3.1,-3.7,-2.6,R-HSA-9658195,Leishmania infection,M111,3,0
1,1,1,-2.3,-2.3,-2.9,M167,PID AP1 PATHWAY,M111,3,0
1,1,1,-3.1,-3.7,-2.6,R-HSA-9824443,Parasitic Infection Pathways,M111,3,0
1,1,1,-3.7,-3.3,-2.2,GO:0098609,cell-cell adhesion,M111,3,0
1,1,1,-2.8,-2.4,-3.5,GO:0006954,inflammatory response,M111,3,0
0,1,1,0,-2.1,-2.1,GO:0048562,embryonic organ morphogenesis,M011,2,0
0,1,1,0,-3,-2.1,GO:0050866,negative regulation of cell activation,M011,2,0
1,0,1,-2.2,0,-3.8,WP4304,Oligodendrocyte specification and differentiation leading to myelin components for CNS,M101,2,0
1,1,0,-2.1,-2,0,GO:0045619,regulation of lymphocyte differentiation,M110,2,0
1,1,0,-2.8,-2.3,0,GO:0030902,hindbrain development,M110,2,0
0,1,1,0,-2.6,-3.3,GO:0045321,leukocyte activation,M011,2,0
0,1,1,0,-2.2,-2.8,GO:0019722,calcium-mediated signaling,M011,2,0
0,1,1,0,-3.2,-2.8,GO:1903131,mononuclear cell differentiation,M011,2,0
0,1,1,0,-3,-2.1,GO:0048596,embryonic camera-type eye morphogenesis,M011,2,0
1,1,0,-2.2,-3.2,0,GO:0002685,regulation of leukocyte migration,M110,2,0
0,1,1,0,-2.8,-2.4,GO:1903037,regulation of leukocyte cell-cell adhesion,M011,2,0
1,0,1,-4.4,0,-2.2,WP2355,Corticotropin releasing hormone signaling pathway,M101,2,0
0,1,1,0,-2.2,-3.4,GO:0030097,hemopoiesis,M011,2,0
0,1,1,0,-2.3,-2.6,GO:0048568,embryonic organ development,M011,2,0
1,0,1,-2.6,0,-2.1,hsa05131,Shigellosis,M101,2,0
0,1,1,0,-2.2,-2.2,GO:0072124,regulation of glomerular mesangial cell proliferation,M011,2,0
1,0,1,-3.3,0,-2.2,GO:2000628,regulation of miRNA metabolic process,M101,2,0
0,1,1,0,-2,-3.3,GO:0007423,sensory organ development,M011,2,0
0,1,1,0,-3.1,-2.4,GO:0022407,regulation of cell-cell adhesion,M011,2,0
0,1,1,0,-2.1,-2.1,hsa05166,Human T-cell leukemia virus 1 infection,M011,2,0
0,1,1,0,-3.4,-2.7,R-HSA-9664433,Leishmania parasite growth and survival,M011,2,0
1,0,1,-3.4,0,-2.3,GO:0140747,regulation of ncRNA transcription,M101,2,0
0,1,1,0,-3.4,-2.7,R-HSA-9662851,Anti-inflammatory response favouring Leishmania parasite infection,M011,2,0
0,1,1,0,-2.5,-2.5,GO:0021988,olfactory lobe development,M011,2,0
1,0,1,-2.6,0,-3.7,R-HSA-449147,Signaling by Interleukins,M101,2,0
0,1,1,0,-3.1,-2.8,GO:0002521,leukocyte differentiation,M011,2,0
1,0,1,-3,0,-2.4,GO:1902893,regulation of miRNA transcription,M101,2,0
0,1,1,0,-2.5,-2.5,R-HSA-9664323,FCGR3A-mediated IL10 synthesis,M011,2,0
1,0,1,-2.5,0,-2.1,GO:0071496,cellular response to external stimulus,M101,2,0
0,1,1,0,-2.4,-2.8,GO:0002683,negative regulation of immune system process,M011,2,0
1,1,0,-2.2,-2.2,0,GO:0071675,regulation of mononuclear cell migration,M110,2,0
0,1,1,0,-2,-3.7,hsa04380,Osteoclast differentiation,M011,2,0
0,1,1,0,-2.7,-2,GO:0009611,response to wounding,M011,2,0
0,1,1,0,-4.3,-3.6,GO:0001775,cell activation,M011,2,0
1,1,0,-3.5,-2.1,0,GO:0030335,positive regulation of cell migration,M110,2,0
0,1,1,0,-3,-2.4,GO:0007420,brain development,M011,2,0
0,1,1,0,-2.2,-2.2,GO:0002694,regulation of leukocyte activation,M011,2,0
0,1,1,0,-2.2,-3.2,WP2857,Mesodermal commitment pathway,M011,2,0
0,1,1,0,-2.6,-3.3,GO:0045785,positive regulation of cell adhesion,M011,2,0
0,1,1,0,-2.1,-2.5,GO:0003007,heart morphogenesis,M011,2,0
0,1,1,0,-2.9,-3.3,GO:0046649,lymphocyte activation,M011,2,0
0,1,1,0,-2.3,-2.3,GO:0002695,negative regulation of leukocyte activation,M011,2,0
1,0,1,-3,0,-2.2,GO:1903706,regulation of hemopoiesis,M101,2,0
1,0,1,-2,0,-2,GO:0051412,response to corticosterone,M101,2,0
1,1,0,-2.7,-2.2,0,GO:0045580,regulation of T cell differentiation,M110,2,0
0,1,1,0,-2.7,-2.2,GO:1903038,negative regulation of leukocyte cell-cell adhesion,M011,2,0
1,0,1,-4.3,0,-2.1,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M101,2,0
0,0,1,0,0,-3.1,GO:0003417,growth plate cartilage development,M001,1,0
0,0,1,0,0,-2.2,GO:0001822,kidney development,M001,1,0
0,1,0,0,-2.5,0,GO:0042060,wound healing,M010,1,0
0,1,0,0,-2.4,0,GO:0002221,pattern recognition receptor signaling pathway,M010,1,0
0,0,1,0,0,-2,WP3612,Photodynamic therapy induced NFE2L2 NRF2 survival signaling,M001,1,0
0,0,1,0,0,-4.9,hsa05167,Kaposi sarcoma-associated herpesvirus infection,M001,1,0
0,1,0,0,-2.7,0,WP5053,Development of ureteric collection system,M010,1,0
1,0,0,-2.6,0,0,GO:0050804,modulation of chemical synaptic transmission,M100,1,0
0,0,1,0,0,-2.7,GO:0045637,regulation of myeloid cell differentiation,M001,1,0
0,0,1,0,0,-2.1,GO:0031668,cellular response to extracellular stimulus,M001,1,0
1,0,0,-2.1,0,0,GO:0055117,regulation of cardiac muscle contraction,M100,1,0
0,0,1,0,0,-2,GO:0072001,renal system development,M001,1,0
1,0,0,-2,0,0,GO:0060326,cell chemotaxis,M100,1,0
0,0,1,0,0,-2,GO:1905710,positive regulation of membrane permeability,M001,1,0
0,0,1,0,0,-2,GO:0048589,developmental growth,M001,1,0
1,0,0,-2.2,0,0,GO:0060428,lung epithelium development,M100,1,0
0,1,0,0,-2.9,0,R-HSA-446728,Cell junction organization,M010,1,0
0,1,0,0,-2.5,0,GO:0009595,detection of biotic stimulus,M010,1,0
0,0,1,0,0,-2.5,GO:0045655,regulation of monocyte differentiation,M001,1,0
1,0,0,-2.2,0,0,GO:0072091,regulation of stem cell proliferation,M100,1,0
0,0,1,0,0,-2,GO:0003071,renal system process involved in regulation of systemic arterial blood pressure,M001,1,0
0,1,0,0,-3.5,0,GO:0031663,lipopolysaccharide-mediated signaling pathway,M010,1,0
0,1,0,0,-2.2,0,GO:1903532,positive regulation of secretion by cell,M010,1,0
0,0,1,0,0,-2.4,GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,M001,1,0
0,1,0,0,-2.2,0,hsa04070,Phosphatidylinositol signaling system,M010,1,0
0,0,1,0,0,-3.2,WP366,TGF beta signaling pathway,M001,1,0
0,0,1,0,0,-2.2,GO:0043547,positive regulation of GTPase activity,M001,1,0
1,0,0,-2.6,0,0,GO:0099177,regulation of trans-synaptic signaling,M100,1,0
1,0,0,-2.2,0,0,R-HSA-9823739,Formation of the anterior neural plate,M100,1,0
0,1,0,0,-2.2,0,GO:0032653,regulation of interleukin-10 production,M010,1,0
0,1,0,0,-2.5,0,WP289,Myometrial relaxation and contraction pathways,M010,1,0
0,0,1,0,0,-2.3,M10,PID BCR 5PATHWAY,M001,1,0
0,1,0,0,-2.4,0,GO:0033623,regulation of integrin activation,M010,1,0
1,0,0,-2,0,0,GO:0046683,response to organophosphorus,M100,1,0
0,0,1,0,0,-2.2,R-HSA-8853659,RET signaling,M001,1,0
0,1,0,0,-2.3,0,GO:0048729,tissue morphogenesis,M010,1,0
0,1,0,0,-2.5,0,R-HSA-109582,Hemostasis,M010,1,0
1,0,0,-2.6,0,0,GO:0071695,anatomical structure maturation,M100,1,0
0,1,0,0,-2,0,M158,PID INTEGRIN4 PATHWAY,M010,1,0
1,0,0,-2.5,0,0,M145,PID P53 DOWNSTREAM PATHWAY,M100,1,0
1,0,0,-2.7,0,0,GO:0021955,central nervous system neuron axonogenesis,M100,1,0
0,1,0,0,-2.2,0,GO:0071216,cellular response to biotic stimulus,M010,1,0
0,1,0,0,-2.2,0,R-HSA-977444,GABA B receptor activation,M010,1,0
0,1,0,0,-2.4,0,GO:0032647,regulation of interferon-alpha production,M010,1,0
0,0,1,0,0,-3.1,GO:0030218,erythrocyte differentiation,M001,1,0
1,0,0,-6,0,0,GO:0048871,multicellular organismal-level homeostasis,M100,1,0
1,0,0,-2,0,0,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,M100,1,0
1,0,0,-2.6,0,0,GO:0042698,ovulation cycle,M100,1,0
0,1,0,0,-2.2,0,GO:0031016,pancreas development,M010,1,0
0,0,1,0,0,-2.7,GO:0048704,embryonic skeletal system morphogenesis,M001,1,0
0,0,1,0,0,-3,GO:0002764,immune response-regulating signaling pathway,M001,1,0
0,0,1,0,0,-2.2,GO:0002250,adaptive immune response,M001,1,0
0,0,1,0,0,-2,R-HSA-1912420,Pre-NOTCH Processing in Golgi,M001,1,0
0,1,0,0,-3.4,0,GO:0030098,lymphocyte differentiation,M010,1,0
0,0,1,0,0,-2.4,WP560,TGF beta receptor signaling,M001,1,0
0,1,0,0,-2.1,0,hsa04072,Phospholipase D signaling pathway,M010,1,0
1,0,0,-2.3,0,0,GO:0048812,neuron projection morphogenesis,M100,1,0
0,0,1,0,0,-2.2,hsa01522,Endocrine resistance,M001,1,0
1,0,0,-2.4,0,0,R-HSA-5633008,TP53 Regulates Transcription of Cell Death Genes,M100,1,0
0,0,1,0,0,-3.4,GO:0009792,embryo development ending in birth or egg hatching,M001,1,0
1,0,0,-2.4,0,0,GO:0006935,chemotaxis,M100,1,0
0,0,1,0,0,-2.4,GO:0007507,heart development,M001,1,0
1,0,0,-2.5,0,0,GO:0060135,maternal process involved in female pregnancy,M100,1,0
1,0,0,-2.9,0,0,GO:0021952,central nervous system projection neuron axonogenesis,M100,1,0
0,1,0,0,-2.6,0,GO:0051090,regulation of DNA-binding transcription factor activity,M010,1,0
0,0,1,0,0,-2.9,GO:0071364,cellular response to epidermal growth factor stimulus,M001,1,0
0,0,1,0,0,-2,GO:0048015,phosphatidylinositol-mediated signaling,M001,1,0
0,0,1,0,0,-2.7,GO:0007369,gastrulation,M001,1,0
1,0,0,-2.1,0,0,M231,PID KIT PATHWAY,M100,1,0
0,0,1,0,0,-2.7,GO:0003418,growth plate cartilage chondrocyte differentiation,M001,1,0
0,0,1,0,0,-2.5,R-HSA-9006335,Signaling by Erythropoietin,M001,1,0
0,0,1,0,0,-3.7,CORUM:2693,NFAT-JUN-FOS DNA-protein complex,M001,1,0
0,0,1,0,0,-2.2,GO:0007167,enzyme-linked receptor protein signaling pathway,M001,1,0
0,0,1,0,0,-3.1,GO:0002429,immune response-activating cell surface receptor signaling pathway,M001,1,0
0,0,1,0,0,-3,GO:0048880,sensory system development,M001,1,0
0,0,1,0,0,-2,GO:0001568,blood vessel development,M001,1,0
1,0,0,-2.1,0,0,GO:0032870,cellular response to hormone stimulus,M100,1,0
1,0,0,-2,0,0,GO:0031929,TOR signaling,M100,1,0
0,0,1,0,0,-2,hsa04960,Aldosterone-regulated sodium reabsorption,M001,1,0
0,1,0,0,-3.5,0,GO:0048593,camera-type eye morphogenesis,M010,1,0
0,0,1,0,0,-3.6,GO:0072006,nephron development,M001,1,0
0,0,1,0,0,-2.9,GO:0150078,positive regulation of neuroinflammatory response,M001,1,0
0,0,1,0,0,-2.3,WP4816,TGF beta receptor signaling in skeletal dysplasias,M001,1,0
0,0,1,0,0,-2.9,GO:0046638,positive regulation of alpha-beta T cell differentiation,M001,1,0
0,0,1,0,0,-3.1,CORUM:2692,SMAD3-SMAD4-cJun-cFos complex,M001,1,0
1,0,0,-2.6,0,0,WP706,Sudden infant death syndrome SIDS susceptibility pathways,M100,1,0
0,0,1,0,0,-2.4,GO:0071417,cellular response to organonitrogen compound,M001,1,0
0,0,1,0,0,-2.1,GO:0045662,negative regulation of myoblast differentiation,M001,1,0
1,0,0,-2.2,0,0,hsa05418,Fluid shear stress and atherosclerosis,M100,1,0
0,0,1,0,0,-2.4,GO:0001654,eye development,M001,1,0
1,0,0,-2.7,0,0,GO:0007565,female pregnancy,M100,1,0
0,0,1,0,0,-2.2,WP5083,Neuroinflammation and glutamatergic signaling,M001,1,0
0,0,1,0,0,-2.2,WP5098,T cell activation SARS CoV 2,M001,1,0
1,0,0,-2.5,0,0,WP4842,Mammalian disorder of sexual development,M100,1,0
0,0,1,0,0,-2.7,R-HSA-8939245,RUNX1 regulates transcription of genes involved in BCR signaling,M001,1,0
0,1,0,0,-2.9,0,hsa04912,GnRH signaling pathway,M010,1,0
1,0,0,-3.2,0,0,GO:0031960,response to corticosteroid,M100,1,0
0,1,0,0,-2.6,0,hsa04390,Hippo signaling pathway,M010,1,0
0,0,1,0,0,-2,WP5314,Lactate shuttle in glial cells,M001,1,0
1,0,0,-3.5,0,0,GO:0048511,rhythmic process,M100,1,0
0,0,1,0,0,-2.1,GO:0022029,telencephalon cell migration,M001,1,0
0,0,1,0,0,-2.4,GO:0032102,negative regulation of response to external stimulus,M001,1,0
0,0,1,0,0,-2.4,WP3971,OSX and miRNAs in tooth development,M001,1,0
0,0,1,0,0,-3.6,GO:0050778,positive regulation of immune response,M001,1,0
0,1,0,0,-3.1,0,R-HSA-163359,Glucagon signaling in metabolic regulation,M010,1,0
0,0,1,0,0,-2.7,R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,M001,1,0
0,0,1,0,0,-3,M290,PID IL12 STAT4 PATHWAY,M001,1,0
0,1,0,0,-2.3,0,hsa04723,Retrograde endocannabinoid signaling,M010,1,0
0,1,0,0,-2,0,GO:0097202,activation of cysteine-type endopeptidase activity,M010,1,0
0,1,0,0,-3,0,GO:0050865,regulation of cell activation,M010,1,0
1,0,0,-2.4,0,0,GO:0097305,response to alcohol,M100,1,0
0,0,1,0,0,-3.3,GO:0030099,myeloid cell differentiation,M001,1,0
0,1,0,0,-2.6,0,hsa04928,"Parathyroid hormone synthesis, secretion and action",M010,1,0
0,1,0,0,-2.4,0,R-HSA-9634597,GPER1 signaling,M010,1,0
1,0,0,-2.3,0,0,GO:0048858,cell projection morphogenesis,M100,1,0
1,0,0,-2.7,0,0,GO:0060487,lung epithelial cell differentiation,M100,1,0
0,1,0,0,-3,0,GO:0051250,negative regulation of lymphocyte activation,M010,1,0
0,0,1,0,0,-2.6,GO:0007009,plasma membrane organization,M001,1,0
0,0,1,0,0,-3.8,R-HSA-1280215,Cytokine Signaling in Immune system,M001,1,0
0,0,1,0,0,-3.1,WP4582,Cancer immunotherapy by CTLA4 blockade,M001,1,0
0,0,1,0,0,-2.7,GO:0002768,immune response-regulating cell surface receptor signaling pathway,M001,1,0
1,0,0,-2.2,0,0,GO:0010623,programmed cell death involved in cell development,M100,1,0
0,1,0,0,-2.8,0,hsa04970,Salivary secretion,M010,1,0
0,0,1,0,0,-2.7,GO:0099560,synaptic membrane adhesion,M001,1,0
1,0,0,-2.9,0,0,WP3888,VEGFA VEGFR2 signaling,M100,1,0
0,0,1,0,0,-2.7,M235,PID TCR CALCIUM PATHWAY,M001,1,0
0,1,0,0,-3.2,0,GO:0022408,negative regulation of cell-cell adhesion,M010,1,0
1,0,0,-2.4,0,0,GO:0090132,epithelium migration,M100,1,0
1,0,0,-2.8,0,0,hsa04080,Neuroactive ligand-receptor interaction,M100,1,0
0,1,0,0,-2.2,0,GO:0097237,cellular response to toxic substance,M010,1,0
1,0,0,-2.4,0,0,GO:0060512,prostate gland morphogenesis,M100,1,0
0,1,0,0,-4.4,0,R-HSA-163685,Integration of energy metabolism,M010,1,0
1,0,0,-2.3,0,0,GO:0021953,central nervous system neuron differentiation,M100,1,0
0,1,0,0,-2.7,0,WP4698,Vitamin D sensitive calcium signaling in depression,M010,1,0
1,0,0,-2.2,0,0,GO:0048608,reproductive structure development,M100,1,0
0,1,0,0,-2.6,0,GO:0002700,regulation of production of molecular mediator of immune response,M010,1,0
0,1,0,0,-2.4,0,R-HSA-112040,G-protein mediated events,M010,1,0
0,0,1,0,0,-3.1,GO:0043009,chordate embryonic development,M001,1,0
1,0,0,-3.2,0,0,GO:0061351,neural precursor cell proliferation,M100,1,0
1,0,0,-2.4,0,0,GO:0042330,taxis,M100,1,0
0,0,1,0,0,-2.4,GO:2001240,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,M001,1,0
0,0,1,0,0,-2.7,GO:1903708,positive regulation of hemopoiesis,M001,1,0
0,0,1,0,0,-2.9,GO:0048705,skeletal system morphogenesis,M001,1,0
1,0,0,-2.5,0,0,GO:0006942,regulation of striated muscle contraction,M100,1,0
1,0,0,-2.2,0,0,GO:0050921,positive regulation of chemotaxis,M100,1,0
0,0,1,0,0,-2.7,WP2882,Nuclear receptors meta pathway,M001,1,0
0,1,0,0,-2.7,0,GO:0043374,"CD8-positive, alpha-beta T cell differentiation",M010,1,0
0,0,1,0,0,-2.2,GO:1905145,cellular response to acetylcholine,M001,1,0
0,0,1,0,0,-2.1,hsa04666,Fc gamma R-mediated phagocytosis,M001,1,0
0,1,0,0,-2,0,GO:0035235,ionotropic glutamate receptor signaling pathway,M010,1,0
0,0,1,0,0,-3.4,GO:0045664,regulation of neuron differentiation,M001,1,0
0,0,1,0,0,-2.9,GO:0150104,transport across blood-brain barrier,M001,1,0
0,1,0,0,-2.3,0,GO:0032648,regulation of interferon-beta production,M010,1,0
1,0,0,-2.4,0,0,GO:0021781,glial cell fate commitment,M100,1,0
0,1,0,0,-2.4,0,R-HSA-432040,Vasopressin regulates renal water homeostasis via Aquaporins,M010,1,0
0,1,0,0,-3.1,0,GO:0048048,embryonic eye morphogenesis,M010,1,0
0,1,0,0,-2.9,0,GO:0002718,regulation of cytokine production involved in immune response,M010,1,0
0,1,0,0,-2.3,0,hsa04726,Serotonergic synapse,M010,1,0
1,0,0,-4,0,0,GO:0021954,central nervous system neuron development,M100,1,0
1,0,0,-2,0,0,WP4685,Melanoma,M100,1,0
0,1,0,0,-2.2,0,GO:0090596,sensory organ morphogenesis,M010,1,0
1,0,0,-2.3,0,0,GO:0001655,urogenital system development,M100,1,0
0,1,0,0,-2.1,0,GO:0045621,positive regulation of lymphocyte differentiation,M010,1,0
0,0,1,0,0,-2.2,R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,M001,1,0
0,1,0,0,-2.2,0,GO:0032479,regulation of type I interferon production,M010,1,0
0,1,0,0,-2,0,R-HSA-5602498,MyD88 deficiency (TLR2/4),M010,1,0
0,0,1,0,0,-2.7,GO:0071600,otic vesicle morphogenesis,M001,1,0
0,0,1,0,0,-4.7,GO:0002253,activation of immune response,M001,1,0
1,0,0,-2,0,0,R-HSA-1257604,PIP3 activates AKT signaling,M100,1,0
0,1,0,0,-2.1,0,GO:0002702,positive regulation of production of molecular mediator of immune response,M010,1,0
0,1,0,0,-2.5,0,GO:0060411,cardiac septum morphogenesis,M010,1,0
0,1,0,0,-4,0,hsa04750,Inflammatory mediator regulation of TRP channels,M010,1,0
0,0,1,0,0,-2.6,R-HSA-168898,Toll-like Receptor Cascades,M001,1,0
0,1,0,0,-2.3,0,GO:0051592,response to calcium ion,M010,1,0
0,1,0,0,-2.4,0,R-HSA-9660821,ADORA2B mediated anti-inflammatory cytokines production,M010,1,0
1,0,0,-3.6,0,0,GO:0032103,positive regulation of response to external stimulus,M100,1,0
0,1,0,0,-2.1,0,hsa04971,Gastric acid secretion,M010,1,0
0,0,1,0,0,-2.8,GO:0035914,skeletal muscle cell differentiation,M001,1,0
0,0,1,0,0,-3,GO:0002761,regulation of myeloid leukocyte differentiation,M001,1,0
1,0,0,-6.2,0,0,R-HSA-9660826,Purinergic signaling in leishmaniasis infection,M100,1,0
1,0,0,-2.5,0,0,WP2431,Spinal cord injury,M100,1,0
0,1,0,0,-2.2,0,GO:0003203,endocardial cushion morphogenesis,M010,1,0
0,1,0,0,-2.2,0,R-HSA-8964315,G beta:gamma signalling through BTK,M010,1,0
0,1,0,0,-2.5,0,WP536,Calcium regulation in cardiac cells,M010,1,0
0,1,0,0,-2.8,0,GO:0032673,regulation of interleukin-4 production,M010,1,0
1,0,0,-2.4,0,0,GO:0060740,prostate gland epithelium morphogenesis,M100,1,0
0,1,0,0,-2.2,0,GO:0060173,limb development,M010,1,0
0,0,1,0,0,-2,GO:0001502,cartilage condensation,M001,1,0
0,1,0,0,-2.2,0,GO:0072132,mesenchyme morphogenesis,M010,1,0
1,0,0,-6.2,0,0,R-HSA-9664424,Cell recruitment (pro-inflammatory response),M100,1,0
0,1,0,0,-2.9,0,hsa04925,Aldosterone synthesis and secretion,M010,1,0
0,1,0,0,-3.9,0,GO:0032655,regulation of interleukin-12 production,M010,1,0
0,1,0,0,-2.2,0,GO:0051091,positive regulation of DNA-binding transcription factor activity,M010,1,0
1,0,0,-2.5,0,0,GO:0007612,learning,M100,1,0
0,1,0,0,-2.1,0,WP5087,Pleural mesothelioma,M010,1,0
0,0,1,0,0,-2.2,hsa04657,IL-17 signaling pathway,M001,1,0
0,0,1,0,0,-2.1,GO:0045787,positive regulation of cell cycle,M001,1,0
1,0,0,-2.6,0,0,M65,PID FRA PATHWAY,M100,1,0
0,0,1,0,0,-2.2,GO:0046635,positive regulation of alpha-beta T cell activation,M001,1,0
1,0,0,-2.3,0,0,GO:0044703,multi-organism reproductive process,M100,1,0
1,0,0,-2.1,0,0,GO:0050729,positive regulation of inflammatory response,M100,1,0
1,0,0,-2.1,0,0,GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,M100,1,0
0,1,0,0,-2.2,0,GO:0031076,embryonic camera-type eye development,M010,1,0
0,0,1,0,0,-2.4,WP3611,Photodynamic therapy induced AP 1 survival signaling,M001,1,0
1,0,0,-2.3,0,0,GO:0043534,blood vessel endothelial cell migration,M100,1,0
0,0,1,0,0,-3,WP23,B cell receptor signaling pathway,M001,1,0
0,0,1,0,0,-2.3,GO:1903055,positive regulation of extracellular matrix organization,M001,1,0
0,0,1,0,0,-3,GO:0150063,visual system development,M001,1,0
1,0,0,-2.3,0,0,GO:0051960,regulation of nervous system development,M100,1,0
0,0,1,0,0,-2.1,GO:0120035,regulation of plasma membrane bounded cell projection organization,M001,1,0
0,0,1,0,0,-2.6,GO:0051216,cartilage development,M001,1,0
0,1,0,0,-2.2,0,GO:0048736,appendage development,M010,1,0
0,0,1,0,0,-2.3,GO:2000058,regulation of ubiquitin-dependent protein catabolic process,M001,1,0
0,0,1,0,0,-2.4,GO:0002064,epithelial cell development,M001,1,0
0,1,0,0,-2.6,0,GO:0021772,olfactory bulb development,M010,1,0
0,0,1,0,0,-3.7,R-HSA-164944,Nef and signal transduction,M001,1,0
0,0,1,0,0,-3.4,GO:0060537,muscle tissue development,M001,1,0
0,0,1,0,0,-2.2,WP2853,Endoderm differentiation,M001,1,0
1,0,0,-2.5,0,0,GO:0045444,fat cell differentiation,M100,1,0
1,0,0,-2.4,0,0,R-HSA-9830364,Formation of the nephric duct,M100,1,0
0,0,1,0,0,-2.1,hsa04150,mTOR signaling pathway,M001,1,0
1,0,0,-2.4,0,0,GO:0046637,regulation of alpha-beta T cell differentiation,M100,1,0
1,0,0,-2,0,0,R-HSA-9006925,Intracellular signaling by second messengers,M100,1,0
1,0,0,-2.2,0,0,GO:0021780,glial cell fate specification,M100,1,0
0,1,0,0,-4.6,0,hsa05200,Pathways in cancer,M010,1,0
0,0,1,0,0,-2.2,GO:0022409,positive regulation of cell-cell adhesion,M001,1,0
1,0,0,-2.2,0,0,GO:0043376,"regulation of CD8-positive, alpha-beta T cell differentiation",M100,1,0
1,0,0,-3.4,0,0,GO:0042551,neuron maturation,M100,1,0
1,0,0,-2.1,0,0,GO:0031400,negative regulation of protein modification process,M100,1,0
0,0,1,0,0,-2.2,GO:0009615,response to virus,M001,1,0
0,1,0,0,-2.4,0,GO:0021543,pallium development,M010,1,0
1,0,0,-2.5,0,0,GO:0021700,developmental maturation,M100,1,0
0,0,1,0,0,-2.5,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,M001,1,0
0,0,1,0,0,-2,GO:0040007,growth,M001,1,0
0,0,1,0,0,-2.6,GO:0070849,response to epidermal growth factor,M001,1,0
0,0,1,0,0,-2.8,GO:0034101,erythrocyte homeostasis,M001,1,0
0,0,1,0,0,-2,GO:0098743,cell aggregation,M001,1,0
0,1,0,0,-2.1,0,hsa05225,Hepatocellular carcinoma,M010,1,0
0,1,0,0,-2.5,0,R-HSA-1500931,Cell-Cell communication,M010,1,0
0,0,1,0,0,-2.7,WP5382,TGF Smad signaling pathway,M001,1,0
0,0,1,0,0,-4,R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",M001,1,0
1,0,0,-2.6,0,0,GO:2000629,negative regulation of miRNA metabolic process,M100,1,0
0,0,1,0,0,-2,WP4666,Hepatitis B infection,M001,1,0
1,0,0,-4.5,0,0,R-HSA-9031628,NGF-stimulated transcription,M100,1,0
0,0,1,0,0,-2.2,GO:0051051,negative regulation of transport,M001,1,0
0,0,1,0,0,-2.4,GO:0032835,glomerulus development,M001,1,0
