_MEMBER_att_D_SCZ_1 - 0.9-1.1,_MEMBER_att_D_SCZ_1 - 4.5-5.5,_MEMBER_att_D_SCZ_1 - 9.0-11.0,_LogP_att_D_SCZ_1 - 0.9-1.1,_LogP_att_D_SCZ_1 - 4.5-5.5,_LogP_att_D_SCZ_1 - 9.0-11.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-14,-2.8,-2.8,GO:2000628,regulation of miRNA metabolic process,M111,3,0
1,1,1,-6.1,-2.8,-4.7,GO:0006366,transcription by RNA polymerase II,M111,3,0
1,1,1,-13,-2.2,-3.4,hsa05202,Transcriptional misregulation in cancer,M111,3,0
1,1,1,-18,-8.5,-2.7,GO:0030097,hemopoiesis,M111,3,0
1,1,1,-3.4,-2.3,-3.5,GO:0021700,developmental maturation,M111,3,0
1,1,1,-6.8,-3.8,-6.5,GO:0006351,DNA-templated transcription,M111,3,0
1,1,1,-4.3,-2.6,-2.6,GO:0071695,anatomical structure maturation,M111,3,0
1,1,1,-6.7,-3.8,-6.4,GO:0032774,RNA biosynthetic process,M111,3,0
1,1,1,-4.5,-3,-2.9,GO:0048469,cell maturation,M111,3,0
1,1,1,-3.8,-4.2,-2.8,GO:0045165,cell fate commitment,M111,3,0
1,1,1,-6.7,-4.1,-3.3,GO:0048732,gland development,M111,3,0
1,1,1,-15,-2.9,-2.9,GO:1902893,regulation of miRNA transcription,M111,3,0
1,1,1,-11,-8.1,-2.1,GO:0030099,myeloid cell differentiation,M111,3,0
1,1,1,-11,-3.5,-2.5,WP236,Adipogenesis,M111,3,0
1,1,1,-15,-2.9,-2.8,GO:0140747,regulation of ncRNA transcription,M111,3,0
1,1,0,-6.5,-2.3,0,R-HSA-166520,Signaling by NTRKs,M110,2,0
1,1,0,-3.4,-2.9,0,WP5373,Role of hypoxia angiogenesis and FGF pathway in OA chondrocyte hypertrophy,M110,2,0
1,1,0,-4.3,-2.5,0,GO:2000514,"regulation of CD4-positive, alpha-beta T cell activation",M110,2,0
1,1,0,-5.9,-2,0,GO:0048545,response to steroid hormone,M110,2,0
1,1,0,-4.5,-3.3,0,GO:0045619,regulation of lymphocyte differentiation,M110,2,0
1,1,0,-4,-2.7,0,GO:0048880,sensory system development,M110,2,0
1,1,0,-5.4,-2,0,GO:0045621,positive regulation of lymphocyte differentiation,M110,2,0
1,1,0,-6.2,-2.2,0,GO:0045582,positive regulation of T cell differentiation,M110,2,0
1,1,0,-6.2,-2.1,0,GO:0002285,lymphocyte activation involved in immune response,M110,2,0
1,1,0,-6.1,-2.3,0,GO:0070848,response to growth factor,M110,2,0
1,1,0,-2.6,-2.4,0,GO:0043588,skin development,M110,2,0
1,1,0,-7.5,-3.1,0,GO:0050863,regulation of T cell activation,M110,2,0
1,1,0,-3.7,-5.3,0,GO:0048863,stem cell differentiation,M110,2,0
1,1,0,-3.2,-3,0,GO:0042594,response to starvation,M110,2,0
1,1,0,-2.7,-2.2,0,GO:0002262,myeloid cell homeostasis,M110,2,0
1,1,0,-8.8,-2.2,0,GO:0045639,positive regulation of myeloid cell differentiation,M110,2,0
1,1,0,-3.8,-2.1,0,GO:0030183,B cell differentiation,M110,2,0
1,1,0,-3.1,-2.8,0,GO:0002292,T cell differentiation involved in immune response,M110,2,0
1,1,0,-3,-2.1,0,GO:0032102,negative regulation of response to external stimulus,M110,2,0
1,1,0,-11,-5,0,GO:1903131,mononuclear cell differentiation,M110,2,0
1,1,0,-3.5,-2.3,0,hsa04928,"Parathyroid hormone synthesis, secretion and action",M110,2,0
1,1,0,-3.4,-2.9,0,WP1591,Heart development,M110,2,0
1,0,1,-4.7,0,-2.8,GO:0045598,regulation of fat cell differentiation,M101,2,0
1,1,0,-14,-4.3,0,GO:0045321,leukocyte activation,M110,2,0
1,1,0,-10,-3.4,0,GO:0042110,T cell activation,M110,2,0
1,1,0,-2.5,-2.5,0,GO:0035710,"CD4-positive, alpha-beta T cell activation",M110,2,0
1,1,0,-5.6,-3.6,0,hsa04658,Th1 and Th2 cell differentiation,M110,2,0
1,1,0,-5.9,-2.8,0,R-HSA-8939211,ESR-mediated signaling,M110,2,0
1,1,0,-5.5,-3.1,0,GO:0045646,regulation of erythrocyte differentiation,M110,2,0
1,1,0,-13,-4.2,0,GO:0046649,lymphocyte activation,M110,2,0
1,1,0,-4,-2.2,0,GO:0003151,outflow tract morphogenesis,M110,2,0
1,1,0,-3.5,-2.4,0,GO:0035282,segmentation,M110,2,0
1,1,0,-8.5,-2,0,WP366,TGF beta signaling pathway,M110,2,0
1,1,0,-3,-2.3,0,GO:0046632,alpha-beta T cell differentiation,M110,2,0
1,1,0,-2.2,-3.6,0,GO:0002244,hematopoietic progenitor cell differentiation,M110,2,0
1,1,0,-2.6,-3.4,0,GO:0048729,tissue morphogenesis,M110,2,0
1,1,0,-8.7,-2.3,0,GO:1903037,regulation of leukocyte cell-cell adhesion,M110,2,0
1,1,0,-4.2,-2.2,0,GO:0061061,muscle structure development,M110,2,0
1,1,0,-7.8,-4.5,0,M60,PID NFAT TFPATHWAY,M110,2,0
1,1,0,-5,-2.4,0,GO:0071363,cellular response to growth factor stimulus,M110,2,0
1,1,0,-2.5,-2.1,0,GO:0009991,response to extracellular stimulus,M110,2,0
1,1,0,-2.6,-2.9,0,R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis,M110,2,0
1,1,0,-4.2,-2.7,0,GO:0030218,erythrocyte differentiation,M110,2,0
1,1,0,-3,-2.6,0,GO:0071417,cellular response to organonitrogen compound,M110,2,0
1,1,0,-2.7,-2.8,0,GO:0071356,cellular response to tumor necrosis factor,M110,2,0
1,1,0,-3.8,-3.1,0,WP2374,Oncostatin M signaling pathway,M110,2,0
1,1,0,-2.1,-2.5,0,GO:0003206,cardiac chamber morphogenesis,M110,2,0
1,1,0,-4.8,-2.7,0,GO:0042113,B cell activation,M110,2,0
1,1,0,-6.4,-2.1,0,hsa04659,Th17 cell differentiation,M110,2,0
1,1,0,-2.2,-2.2,0,GO:0042476,odontogenesis,M110,2,0
1,1,0,-7.4,-3,0,GO:0002520,immune system development,M110,2,0
1,1,0,-12,-3.7,0,GO:0001775,cell activation,M110,2,0
1,1,0,-8.4,-4.2,0,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,M110,2,0
1,1,0,-3,-2.2,0,GO:1901653,cellular response to peptide,M110,2,0
1,1,0,-5.3,-3.3,0,WP5198,Inflammatory bowel disease signaling,M110,2,0
1,1,0,-4.5,-2.2,0,GO:1901652,response to peptide,M110,2,0
1,1,0,-2.7,-2.2,0,GO:0009267,cellular response to starvation,M110,2,0
1,1,0,-8.3,-5,0,GO:1902105,regulation of leukocyte differentiation,M110,2,0
1,1,0,-2.4,-2.1,0,GO:0001889,liver development,M110,2,0
1,1,0,-4.1,-3.5,0,GO:0048562,embryonic organ morphogenesis,M110,2,0
1,1,0,-5.1,-3.6,0,GO:0045580,regulation of T cell differentiation,M110,2,0
1,1,0,-2.8,-2.6,0,GO:0034612,response to tumor necrosis factor,M110,2,0
1,1,0,-6.3,-3,0,GO:0003002,regionalization,M110,2,0
1,1,0,-2.6,-2.9,0,R-HSA-5619507,Activation of HOX genes during differentiation,M110,2,0
1,1,0,-7.9,-2.1,0,GO:0050870,positive regulation of T cell activation,M110,2,0
1,1,0,-3.8,-4.3,0,GO:0048598,embryonic morphogenesis,M110,2,0
1,1,0,-5.4,-2.2,0,GO:0045087,innate immune response,M110,2,0
1,1,0,-3.4,-2.5,0,GO:0002819,regulation of adaptive immune response,M110,2,0
1,1,0,-11,-2.3,0,GO:1902895,positive regulation of miRNA transcription,M110,2,0
1,1,0,-4.4,-2.5,0,WP5130,Th17 cell differentiation pathway,M110,2,0
1,1,0,-2.4,-2.1,0,GO:0007507,heart development,M110,2,0
1,1,0,-2.1,-2.6,0,GO:0042475,odontogenesis of dentin-containing tooth,M110,2,0
1,1,0,-3.4,-2.4,0,M195,PID CMYB PATHWAY,M110,2,0
1,1,0,-2.3,-3,0,GO:0008544,epidermis development,M110,2,0
1,1,0,-4.6,-2.4,0,R-HSA-9018519,Estrogen-dependent gene expression,M110,2,0
1,1,0,-7.1,-2.5,0,GO:0051249,regulation of lymphocyte activation,M110,2,0
1,1,0,-7.6,-4.4,0,GO:0030098,lymphocyte differentiation,M110,2,0
1,1,0,-3.2,-3.2,0,GO:0043010,camera-type eye development,M110,2,0
1,1,0,-6.9,-2.4,0,GO:1903708,positive regulation of hemopoiesis,M110,2,0
1,1,0,-13,-2.3,0,M167,PID AP1 PATHWAY,M110,2,0
1,1,0,-10,-2.8,0,R-HSA-449147,Signaling by Interleukins,M110,2,0
1,1,0,-6.9,-2.4,0,GO:1902107,positive regulation of leukocyte differentiation,M110,2,0
1,1,0,-8.4,-2.9,0,GO:0002694,regulation of leukocyte activation,M110,2,0
1,1,0,-3.8,-2.6,0,GO:0002822,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,M110,2,0
1,1,0,-8,-2.9,0,GO:0048511,rhythmic process,M110,2,0
1,1,0,-5.1,-2.5,0,GO:0002286,T cell activation involved in immune response,M110,2,0
1,1,0,-2.1,-2.3,0,GO:0030323,respiratory tube development,M110,2,0
1,1,0,-4.9,-2.4,0,GO:0001501,skeletal system development,M110,2,0
1,1,0,-3.2,-2.5,0,GO:1901699,cellular response to nitrogen compound,M110,2,0
1,1,0,-4.5,-3.1,0,GO:0031348,negative regulation of defense response,M110,2,0
1,1,0,-8,-7.9,0,GO:0048568,embryonic organ development,M110,2,0
1,1,0,-11,-5.3,0,GO:1903706,regulation of hemopoiesis,M110,2,0
1,0,1,-5,0,-2.3,GO:0008285,negative regulation of cell population proliferation,M101,2,0
1,1,0,-6.6,-2.4,0,GO:0001701,in utero embryonic development,M110,2,0
1,1,0,-3,-4.7,0,GO:0040007,growth,M110,2,0
1,1,0,-4.6,-3.1,0,R-HSA-9616222,Transcriptional regulation of granulopoiesis,M110,2,0
1,1,0,-3.2,-2.9,0,GO:0002287,alpha-beta T cell activation involved in immune response,M110,2,0
1,1,0,-7.7,-2.4,0,GO:0002696,positive regulation of leukocyte activation,M110,2,0
1,1,0,-4,-2.4,0,GO:0001892,embryonic placenta development,M110,2,0
1,1,0,-7.1,-2.2,0,GO:0050867,positive regulation of cell activation,M110,2,0
1,1,0,-4.7,-2.4,0,GO:0046637,regulation of alpha-beta T cell differentiation,M110,2,0
1,1,0,-3,-8.5,0,GO:0140467,integrated stress response signaling,M110,2,0
1,1,0,-3.4,-2.6,0,GO:0035050,embryonic heart tube development,M110,2,0
1,1,0,-3.4,-2.8,0,GO:0001654,eye development,M110,2,0
1,1,0,-6.8,-2.6,0,GO:0050865,regulation of cell activation,M110,2,0
1,1,0,-6.5,-7.6,0,GO:0002573,myeloid leukocyte differentiation,M110,2,0
1,1,0,-2.4,-2.5,0,hsa04932,Non-alcoholic fatty liver disease,M110,2,0
1,1,0,-9.7,-2.2,0,GO:2000630,positive regulation of miRNA metabolic process,M110,2,0
1,1,0,-4.5,-2.3,0,WP4659,Gastrin signaling pathway,M110,2,0
1,1,0,-2.6,-2.6,0,GO:0045824,negative regulation of innate immune response,M110,2,0
1,0,1,-4,0,-3.1,GO:0045444,fat cell differentiation,M101,2,0
1,1,0,-4.5,-2.7,0,GO:0030855,epithelial cell differentiation,M110,2,0
1,1,0,-4.5,-2.7,0,GO:0043370,"regulation of CD4-positive, alpha-beta T cell differentiation",M110,2,0
1,1,0,-5.8,-2.2,0,R-HSA-9006931,Signaling by Nuclear Receptors,M110,2,0
1,1,0,-10,-2.2,0,GO:0045637,regulation of myeloid cell differentiation,M110,2,0
1,1,0,-2.6,-2.6,0,GO:0072132,mesenchyme morphogenesis,M110,2,0
1,1,0,-2.9,-2.7,0,GO:0043367,"CD4-positive, alpha-beta T cell differentiation",M110,2,0
1,1,0,-3,-3.4,0,WP2840,Hair follicle development cytodifferentiation part 3 of 3,M110,2,0
1,0,1,-2.9,0,-3.7,GO:0072089,stem cell proliferation,M101,2,0
1,1,0,-3.2,-2.9,0,GO:0002293,alpha-beta T cell differentiation involved in immune response,M110,2,0
1,0,1,-6.3,0,-5.4,GO:0008283,cell population proliferation,M101,2,0
1,1,0,-8.2,-2.4,0,GO:0002697,regulation of immune effector process,M110,2,0
1,1,0,-4.8,-2.4,0,GO:0007517,muscle organ development,M110,2,0
1,1,0,-2.5,-5.4,0,GO:0030219,megakaryocyte differentiation,M110,2,0
1,1,0,-5.9,-3,0,GO:0046634,regulation of alpha-beta T cell activation,M110,2,0
1,1,0,-2.8,-2.2,0,GO:0010717,regulation of epithelial to mesenchymal transition,M110,2,0
1,0,1,-3.8,0,-4.1,WP395,IL 4 signaling pathway,M101,2,0
1,1,0,-3.2,-3.2,0,GO:0045622,regulation of T-helper cell differentiation,M110,2,0
1,1,0,-5.2,-4.2,0,GO:0009792,embryo development ending in birth or egg hatching,M110,2,0
1,0,1,-2.8,0,-2.9,GO:0022612,gland morphogenesis,M101,2,0
1,1,0,-6.6,-2.7,0,GO:0007389,pattern specification process,M110,2,0
1,1,0,-7.3,-2.4,0,R-HSA-187037,Signaling by NTRK1 (TRKA),M110,2,0
1,1,0,-12,-3.9,0,R-HSA-1280215,Cytokine Signaling in Immune system,M110,2,0
1,1,0,-3.4,-2.2,0,GO:0060541,respiratory system development,M110,2,0
1,1,0,-3.4,-2.9,0,GO:0042093,T-helper cell differentiation,M110,2,0
1,1,0,-2.1,-2.2,0,GO:0048706,embryonic skeletal system development,M110,2,0
1,1,0,-2,-3.2,0,GO:0043583,ear development,M110,2,0
1,1,0,-3.8,-3.9,0,WP5102,Familial partial lipodystrophy,M110,2,0
1,1,0,-4.5,-3,0,GO:0046631,alpha-beta T cell activation,M110,2,0
1,1,0,-3,-4.7,0,GO:0048589,developmental growth,M110,2,0
1,1,0,-3.9,-2.6,0,GO:0034101,erythrocyte homeostasis,M110,2,0
1,1,0,-9.2,-3.2,0,M2,PID SMAD2 3NUCLEAR PATHWAY,M110,2,0
1,1,0,-4.3,-3.3,0,M183,PID IL6 7 PATHWAY,M110,2,0
1,1,0,-2.2,-2.3,0,GO:0031667,response to nutrient levels,M110,2,0
1,1,0,-3.4,-4.2,0,GO:0030851,granulocyte differentiation,M110,2,0
1,1,0,-2.3,-2,0,GO:0061008,hepaticobiliary system development,M110,2,0
1,1,0,-5.7,-2.6,0,hsa05321,Inflammatory bowel disease,M110,2,0
1,1,0,-5.4,-4.3,0,GO:0043009,chordate embryonic development,M110,2,0
1,1,0,-4.4,-2,0,GO:0001818,negative regulation of cytokine production,M110,2,0
1,1,0,-8.4,-3,0,hsa04380,Osteoclast differentiation,M110,2,0
1,1,0,-3.9,-2.8,0,WP4657,22q11 2 copy number variation syndrome,M110,2,0
1,1,0,-14,-7.3,0,GO:0002521,leukocyte differentiation,M110,2,0
1,1,0,-3.2,-2.1,0,GO:0042471,ear morphogenesis,M110,2,0
1,1,0,-3.4,-2.9,0,GO:0002294,"CD4-positive, alpha-beta T cell differentiation involved in immune response",M110,2,0
1,0,1,-2.8,0,-3.4,GO:0061351,neural precursor cell proliferation,M101,2,0
1,1,0,-2.3,-2.4,0,GO:0030324,lung development,M110,2,0
1,1,0,-5.2,-3.3,0,GO:0030217,T cell differentiation,M110,2,0
1,1,0,-2.9,-2.2,0,GO:0048872,homeostasis of number of cells,M110,2,0
1,1,0,-4.7,-3.1,0,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,M110,2,0
1,1,0,-4,-2.8,0,GO:0150063,visual system development,M110,2,0
1,1,0,-2.3,-2.4,0,GO:0030856,regulation of epithelial cell differentiation,M110,2,0
1,1,0,-3.9,-3.4,0,GO:0007423,sensory organ development,M110,2,0
1,0,0,-6.2,0,0,R-HSA-400206,Regulation of lipid metabolism by PPARalpha,M100,1,0
1,0,0,-2,0,0,hsa05205,Proteoglycans in cancer,M100,1,0
1,0,0,-3.2,0,0,GO:0033077,T cell differentiation in thymus,M100,1,0
0,1,0,0,-2.3,0,GO:1904035,regulation of epithelial cell apoptotic process,M010,1,0
1,0,0,-7,0,0,GO:0050778,positive regulation of immune response,M100,1,0
1,0,0,-3.6,0,0,GO:0001912,positive regulation of leukocyte mediated cytotoxicity,M100,1,0
1,0,0,-3.2,0,0,GO:0002440,production of molecular mediator of immune response,M100,1,0
1,0,0,-2.1,0,0,GO:0043502,regulation of muscle adaptation,M100,1,0
0,1,0,0,-2.3,0,GO:0003205,cardiac chamber development,M010,1,0
0,0,1,0,0,-2.1,GO:0051962,positive regulation of nervous system development,M001,1,0
1,0,0,-4,0,0,WP2263,Androgen receptor network in prostate cancer,M100,1,0
1,0,0,-2.2,0,0,GO:0032352,positive regulation of hormone metabolic process,M100,1,0
1,0,0,-3.9,0,0,GO:0030879,mammary gland development,M100,1,0
1,0,0,-3.2,0,0,GO:0030520,intracellular estrogen receptor signaling pathway,M100,1,0
1,0,0,-3.3,0,0,hsa04917,Prolactin signaling pathway,M100,1,0
1,0,0,-2.9,0,0,GO:0051101,regulation of DNA binding,M100,1,0
1,0,0,-3.6,0,0,GO:1905153,regulation of membrane invagination,M100,1,0
1,0,0,-3.8,0,0,GO:0002708,positive regulation of lymphocyte mediated immunity,M100,1,0
1,0,0,-2.6,0,0,GO:0070661,leukocyte proliferation,M100,1,0
1,0,0,-7.6,0,0,R-HSA-2990846,SUMOylation,M100,1,0
1,0,0,-3.7,0,0,GO:0009410,response to xenobiotic stimulus,M100,1,0
1,0,0,-2.5,0,0,R-HSA-450294,MAP kinase activation,M100,1,0
1,0,0,-3.3,0,0,GO:0031343,positive regulation of cell killing,M100,1,0
1,0,0,-2.3,0,0,GO:0033233,regulation of protein sumoylation,M100,1,0
1,0,0,-3.8,0,0,M290,PID IL12 STAT4 PATHWAY,M100,1,0
1,0,0,-4.2,0,0,R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,M100,1,0
1,0,0,-4.3,0,0,R-HSA-937061,TRIF(TICAM1)-mediated TLR4 signaling,M100,1,0
1,0,0,-3,0,0,GO:0033598,mammary gland epithelial cell proliferation,M100,1,0
1,0,0,-2.8,0,0,GO:0002688,regulation of leukocyte chemotaxis,M100,1,0
1,0,0,-2.7,0,0,GO:0043153,entrainment of circadian clock by photoperiod,M100,1,0
1,0,0,-3.2,0,0,WP1991,SRF and miRs in smooth muscle differentiation and proliferation,M100,1,0
1,0,0,-2.1,0,0,GO:0038093,Fc receptor signaling pathway,M100,1,0
1,0,0,-3.4,0,0,GO:0035265,organ growth,M100,1,0
1,0,0,-3.6,0,0,GO:0001911,negative regulation of leukocyte mediated cytotoxicity,M100,1,0
1,0,0,-9.4,0,0,GO:0001819,positive regulation of cytokine production,M100,1,0
1,0,0,-3.9,0,0,GO:0045923,positive regulation of fatty acid metabolic process,M100,1,0
1,0,0,-3.2,0,0,M32,PID HDAC CLASSIII PATHWAY,M100,1,0
1,0,0,-2.1,0,0,R-HSA-448706,Interleukin-1 processing,M100,1,0
1,0,0,-2.7,0,0,WP4155,Endometrial cancer,M100,1,0
0,1,0,0,-2.1,0,GO:0060840,artery development,M010,1,0
1,0,0,-2.4,0,0,WP4258,lncRNA in canonical Wnt signaling and colorectal cancer,M100,1,0
1,0,0,-2.3,0,0,WP4950,16p11 2 distal deletion syndrome,M100,1,0
1,0,0,-2.3,0,0,GO:0070664,negative regulation of leukocyte proliferation,M100,1,0
1,0,0,-2.1,0,0,GO:0030900,forebrain development,M100,1,0
0,1,0,0,-2.5,0,WP5053,Development of ureteric collection system,M010,1,0
1,0,0,-2.2,0,0,GO:0016525,negative regulation of angiogenesis,M100,1,0
1,0,0,-2.6,0,0,CORUM:3045,hs4 enhancer complex (faster migrating complex),M100,1,0
1,0,0,-2.8,0,0,GO:0040013,negative regulation of locomotion,M100,1,0
1,0,0,-2.3,0,0,CORUM:5233,TNF-alpha/NF-kappa B signaling complex 5,M100,1,0
1,0,0,-3.6,0,0,R-HSA-164952,The role of Nef in HIV-1 replication and disease pathogenesis,M100,1,0
1,0,0,-3,0,0,M166,PID ATF2 PATHWAY,M100,1,0
1,0,0,-2.1,0,0,GO:0070555,response to interleukin-1,M100,1,0
1,0,0,-3.6,0,0,GO:0007498,mesoderm development,M100,1,0
1,0,0,-3.4,0,0,M58,PID AR PATHWAY,M100,1,0
1,0,0,-2.4,0,0,R-HSA-1852241,Organelle biogenesis and maintenance,M100,1,0
1,0,0,-3.3,0,0,GO:0071219,cellular response to molecule of bacterial origin,M100,1,0
1,0,0,-8.9,0,0,GO:0071396,cellular response to lipid,M100,1,0
1,0,0,-2.3,0,0,GO:0010745,negative regulation of macrophage derived foam cell differentiation,M100,1,0
1,0,0,-3.1,0,0,R-HSA-9664422,FCGR3A-mediated phagocytosis,M100,1,0
1,0,0,-4.2,0,0,R-HSA-9679191,Potential therapeutics for SARS,M100,1,0
1,0,0,-3.3,0,0,GO:0032570,response to progesterone,M100,1,0
1,0,0,-3,0,0,GO:0045722,positive regulation of gluconeogenesis,M100,1,0
1,0,0,-5,0,0,WP5098,T cell activation SARS CoV 2,M100,1,0
1,0,0,-2.7,0,0,WP4756,Renin angiotensin aldosterone system RAAS,M100,1,0
1,0,0,-2.2,0,0,WP4673,Male infertility,M100,1,0
1,0,0,-5,0,0,GO:0001666,response to hypoxia,M100,1,0
1,0,0,-2.8,0,0,GO:0002224,toll-like receptor signaling pathway,M100,1,0
1,0,0,-3.4,0,0,hsa05140,Leishmaniasis,M100,1,0
1,0,0,-2.3,0,0,GO:0009416,response to light stimulus,M100,1,0
1,0,0,-3.5,0,0,GO:0007028,cytoplasm organization,M100,1,0
1,0,0,-5,0,0,GO:0019221,cytokine-mediated signaling pathway,M100,1,0
1,0,0,-2.8,0,0,WP560,TGF beta receptor signaling,M100,1,0
1,0,0,-2.2,0,0,GO:0045589,regulation of regulatory T cell differentiation,M100,1,0
1,0,0,-5.4,0,0,GO:0050678,regulation of epithelial cell proliferation,M100,1,0
1,0,0,-2.1,0,0,GO:0072124,regulation of glomerular mesangial cell proliferation,M100,1,0
1,0,0,-3,0,0,GO:0051147,regulation of muscle cell differentiation,M100,1,0
1,0,0,-2.3,0,0,GO:0032817,regulation of natural killer cell proliferation,M100,1,0
1,0,0,-3.7,0,0,M151,PID AR TF PATHWAY,M100,1,0
1,0,0,-2.4,0,0,GO:0003007,heart morphogenesis,M100,1,0
1,0,0,-2.3,0,0,GO:0098586,cellular response to virus,M100,1,0
1,0,0,-2.4,0,0,GO:0002335,mature B cell differentiation,M100,1,0
1,0,0,-3.7,0,0,GO:0002718,regulation of cytokine production involved in immune response,M100,1,0
1,0,0,-3.3,0,0,GO:2000106,regulation of leukocyte apoptotic process,M100,1,0
1,0,0,-5.1,0,0,R-HSA-168898,Toll-like Receptor Cascades,M100,1,0
1,0,0,-5.3,0,0,R-HSA-9658195,Leishmania infection,M100,1,0
1,0,0,-5,0,0,R-HSA-9006925,Intracellular signaling by second messengers,M100,1,0
1,0,0,-2.8,0,0,WP2857,Mesodermal commitment pathway,M100,1,0
1,0,0,-3.2,0,0,GO:0070228,regulation of lymphocyte apoptotic process,M100,1,0
1,0,0,-2.4,0,0,GO:0014823,response to activity,M100,1,0
1,0,0,-2.4,0,0,GO:0031663,lipopolysaccharide-mediated signaling pathway,M100,1,0
0,1,0,0,-2.6,0,GO:0048332,mesoderm morphogenesis,M010,1,0
0,1,0,0,-2.4,0,GO:0021510,spinal cord development,M010,1,0
1,0,0,-2.7,0,0,GO:0032691,negative regulation of interleukin-1 beta production,M100,1,0
1,0,0,-2.6,0,0,GO:0045766,positive regulation of angiogenesis,M100,1,0
1,0,0,-2.1,0,0,M180,PID HIF1A PATHWAY,M100,1,0
1,0,0,-9.8,0,0,GO:0030522,intracellular receptor signaling pathway,M100,1,0
